corridor_segment_id,corridor_id,bt_id,order_id
1,1,7,1
2,1,8,2
3,1,9,3
4,1,10,4
5,2,13,1
6,2,14,2
7,2,15,3
8,2,16,4
9,3,22,1
10,3,23,2
11,3,24,3
12,3,25,4
13,4,30,1
14,4,31,2
15,4,32,3
16,4,33,4
17,5,39,1
18,5,40,2
19,5,41,3
20,5,42,4
21,6,43,1
22,6,44,2
23,6,45,3
24,6,46,4
25,7,44,1
26,7,45,2
27,7,46,3
28,8,52,1
29,8,53,2
30,8,54,3
31,8,55,4
32,9,60,1
33,9,61,2
34,9,62,3
35,9,63,4
36,10,67,1
37,10,68,2
38,10,69,3
39,11,70,1
40,11,71,2
41,11,72,3
42,11,73,4
43,12,76,1
44,12,77,2
45,12,78,3
46,13,97,1
47,13,98,2
48,13,99,3
49,14,92,1
50,14,93,2
51,14,94,3
52,15,106,1
53,15,107,2
54,15,108,3
55,16,101,1
56,16,102,2
57,16,103,3
58,17,115,1
59,17,116,2
60,17,117,3
61,18,110,1
62,18,111,2
63,18,112,3
64,19,122,1
65,19,123,2
66,19,124,3
67,20,119,1
68,20,120,2
69,20,121,3
70,21,128,1
71,21,129,2
72,21,130,3
73,22,125,1
74,22,126,2
75,22,127,3
