corridor_id,corridor_name,street_name,direction,from_intersection,to_intersection,segments
1,Dundas EB - Bathurst to Jarvis,Dundas,Eastbound,Bathurst,Jarvis,4
2,Dundas WB - Jarvis to Bathurst,Dundas,Westbound,Jarvis,Bathurst,4
3,Queen EB - Bathurst to Jarvis,Queen,Eastbound,Bathurst,Jarvis,4
4,Queen WB - Jarvis to Bathurst,Queen,Westbound,Jarvis,Bathurst,4
5,Richmond WB - Jarvis to Bathurst,Richmond,Westbound,Jarvis,Bathurst,4
6,Adelaide EB - Bathurst to Jarvis,Adelaide,Eastbound,Bathurst,Jarvis,4
7,Adelaide EB - Spadina to Jarvis,Adelaide,Eastbound,Spadina,Jarvis,3
8,King EB - Bathurst to Jarvis,King,Eastbound,Bathurst,Jarvis,4
9,King WB - Jarvis to Bathurst,King,Westbound,Jarvis,Bathurst,4
10,Wellington WB - Jarvis to Blue Jays Way,Wellington,Westbound,Jarvis,Blue Jays,3
11,Front EB - Bathurst to Jarvis,Front,Eastbound,Bathurst,Jarvis,4
12,Front WB - Yonge to Bathurst,Front,Westbound,Yonge,Bathurst,3
