bt_id,analysis_id,street_name,direction,from_intersection,to_intersection
1,1453138,College,EB,Bathurst,University
2,1453170,College,EB,University,Parliament
3,1453197,College,WB,Parliament,University
4,1453218,College,WB,University,Bathurst
5,1453239,Dundas,EB,Roncesvalles,Dufferin
6,1453262,Dundas,EB,Dufferin,Bathurst
7,1453284,Dundas,EB,Bathurst,Spadina
8,1453305,Dundas,EB,Spadina,University
9,1453321,Dundas,EB,University,Yonge
10,1453340,Dundas,EB,Yonge,Jarvis
11,1453367,Dundas,EB,Jarvis,Parliament
12,1453395,Dundas,WB,Parliament,Jarvis
13,1453414,Dundas,WB,Jarvis,Yonge
14,1453428,Dundas,WB,Yonge,University
15,1453445,Dundas,WB,University,Spadina
16,1453464,Dundas,WB,Spadina,Bathurst
17,1453483,Dundas,WB,Bathurst,Dufferin
18,1453507,Dundas,WB,Dufferin,Roncesvalles
19,1453535,Queen,EB,Roncesvalles,Dufferin
20,1453554,Queen,EB,Dufferin,Strachan
21,1453567,Queen,EB,Strachan,Bathurst
22,1453580,Queen,EB,Bathurst,Spadina
23,1453612,Queen,EB,Spadina,University
24,1453627,Queen,EB,University,Yonge
25,1453640,Queen,EB,Yonge,Jarvis
26,1453653,Queen,EB,Jarvis,Parliament
27,1453667,Queen,EB,Parliament,Broadview
28,1453680,Queen,WB,Broadview,Parliament
29,1453692,Queen,WB,Parliament,Jarvis
30,1453704,Queen,WB,Jarvis,Yonge
31,1453719,Queen,WB,Yonge,University
32,1453740,Queen,WB,University,Spadina
33,1453752,Queen,WB,Spadina,Bathurst
34,1453764,Queen,WB,Bathurst,Strachan
35,1453781,Queen,WB,Strachan,Dufferin
36,1453806,Queen,WB,Dufferin,Roncesvalles
37,1453850,Eastern/Richmond,WB,Broadview,Parliament
38,1453867,Richmond,WB,Parliament,Jarvis
39,1453888,Richmond,WB,Jarvis,Yonge
40,1453902,Richmond,WB,Yonge,University
41,1453922,Richmond,WB,University,Spadina
42,1453942,Richmond,WB,Spadina,Bathurst
43,1453959,Adelaide,EB,Bathurst,Spadina
44,1453973,Adelaide,EB,Spadina,University
45,1453998,Adelaide,EB,University,Yonge
46,1454031,Adelaide,EB,Yonge,Jarvis
47,1454050,Adelaide,EB,Jarvis,Parliament
48,1454095,Adelaide/Eastern,EB,Parliament,Broadview
49,1454127,King,EB,Roncesvalles,Dufferin
50,1454155,King,EB,Dufferin,Strachan
51,1454168,King,EB,Strachan,Bathurst
52,1454181,King,EB,Bathurst,Spadina
53,1454196,King,EB,Spadina,University
54,1454209,King,EB,University,Yonge
55,1454224,King,EB,Yonge,Jarvis
56,1454241,King,EB,Jarvis,Parliament
57,1454293,King,EB,Parliament,Broadview
58,1454311,King,WB,Broadview,Parliament
59,1454326,King,WB,Parliament,Jarvis
60,1454340,King,WB,Jarvis,Yonge
