bt_id,analysis_id,street_name,direction,from_intersection,to_intersection
1,1457878,College,EB,Bathurst,University
2,1457598,College,EB,University,Parliament
3,1457600,College,WB,Parliament,University
4,1457602,College,WB,University,Bathurst
5,1457604,Dundas,EB,Roncesvalles,Dufferin
6,1457606,Dundas,EB,Dufferin,Bathurst
7,1457608,Dundas,EB,Bathurst,Spadina
8,1457610,Dundas,EB,Spadina,University
9,1457612,Dundas,EB,University,Yonge
10,1457614,Dundas,EB,Yonge,Jarvis
11,1457616,Dundas,EB,Jarvis,Parliament
12,1457618,Dundas,WB,Parliament,Jarvis
13,1457620,Dundas,WB,Jarvis,Yonge
14,1457622,Dundas,WB,Yonge,University
15,1457624,Dundas,WB,University,Spadina
16,1457626,Dundas,WB,Spadina,Bathurst
17,1457628,Dundas,WB,Bathurst,Dufferin
18,1457630,Dundas,WB,Dufferin,Roncesvalles
19,1457632,Queen,EB,Roncesvalles,Dufferin
20,1457634,Queen,EB,Dufferin,Strachan
21,1457636,Queen,EB,Strachan,Bathurst
22,1457638,Queen,EB,Bathurst,Spadina
23,1457640,Queen,EB,Spadina,University
24,1457642,Queen,EB,University,Yonge
25,1457644,Queen,EB,Yonge,Jarvis
26,1457646,Queen,EB,Jarvis,Parliament
27,1457648,Queen,EB,Parliament,Broadview
28,1457650,Queen,WB,Broadview,Parliament
29,1457652,Queen,WB,Parliament,Jarvis
30,1457654,Queen,WB,Jarvis,Yonge
31,1457656,Queen,WB,Yonge,University
32,1457658,Queen,WB,University,Spadina
33,1457660,Queen,WB,Spadina,Bathurst
34,1457662,Queen,WB,Bathurst,Strachan
35,1457664,Queen,WB,Strachan,Dufferin
36,1457666,Queen,WB,Dufferin,Roncesvalles
37,1457668,Eastern/Richmond,WB,Broadview,Parliament
38,1457670,Richmond,WB,Parliament,Jarvis
39,1457672,Richmond,WB,Jarvis,Yonge
40,1457674,Richmond,WB,Yonge,University
41,1457676,Richmond,WB,University,Spadina
42,1457678,Richmond,WB,Spadina,Bathurst
43,1457680,Adelaide,EB,Bathurst,Spadina
44,1457682,Adelaide,EB,Spadina,University
45,1457684,Adelaide,EB,University,Yonge
46,1457686,Adelaide,EB,Yonge,Jarvis
47,1457688,Adelaide,EB,Jarvis,Parliament
48,1457690,Adelaide/Eastern,EB,Parliament,Broadview
49,1457692,King,EB,Roncesvalles,Dufferin
50,1457694,King,EB,Dufferin,Strachan
51,1457696,King,EB,Strachan,Bathurst
52,1457698,King,EB,Bathurst,Spadina
53,1457700,King,EB,Spadina,University
54,1457702,King,EB,University,Yonge
55,1457704,King,EB,Yonge,Jarvis
