bt_id,day_type,dt
1,Weekday,09/13/2017
4,Weekday,09/13/2017
1,Weekday,09/14/2017
2,Weekday,09/14/2017
3,Weekday,09/14/2017
4,Weekday,09/14/2017
126,Weekday,09/14/2017
129,Weekday,09/14/2017
1,Weekday,09/15/2017
2,Weekday,09/15/2017
3,Weekday,09/15/2017
4,Weekday,09/15/2017
56,Weekday,09/15/2017
59,Weekday,09/15/2017
74,Weekday,09/15/2017
75,Weekday,09/15/2017
126,Weekday,09/15/2017
127,Weekday,09/15/2017
128,Weekday,09/15/2017
129,Weekday,09/15/2017
134,Weekday,09/15/2017
135,Weekday,09/15/2017
1,Weekend,09/16/2017
2,Weekend,09/16/2017
3,Weekend,09/16/2017
4,Weekend,09/16/2017
56,Weekend,09/16/2017
59,Weekend,09/16/2017
74,Weekend,09/16/2017
75,Weekend,09/16/2017
126,Weekend,09/16/2017
127,Weekend,09/16/2017
128,Weekend,09/16/2017
129,Weekend,09/16/2017
134,Weekend,09/16/2017
135,Weekend,09/16/2017
1,Weekend,09/17/2017
2,Weekend,09/17/2017
3,Weekend,09/17/2017
4,Weekend,09/17/2017
26,Weekend,09/17/2017
29,Weekend,09/17/2017
56,Weekend,09/17/2017
59,Weekend,09/17/2017
126,Weekend,09/17/2017
129,Weekend,09/17/2017
131,Weekend,09/17/2017
132,Weekend,09/17/2017
133,Weekend,09/17/2017
134,Weekend,09/17/2017
135,Weekend,09/17/2017
136,Weekend,09/17/2017
137,Weekend,09/17/2017
138,Weekend,09/17/2017
1,Weekday,09/18/2017
2,Weekday,09/18/2017
3,Weekday,09/18/2017
4,Weekday,09/18/2017
26,Weekday,09/18/2017
29,Weekday,09/18/2017
37,Weekday,09/18/2017
56,Weekday,09/18/2017
59,Weekday,09/18/2017
101,Weekday,09/18/2017
108,Weekday,09/18/2017
119,Weekday,09/18/2017
124,Weekday,09/18/2017
126,Weekday,09/18/2017
129,Weekday,09/18/2017
131,Weekday,09/18/2017
132,Weekday,09/18/2017
133,Weekday,09/18/2017
134,Weekday,09/18/2017
135,Weekday,09/18/2017
136,Weekday,09/18/2017
137,Weekday,09/18/2017
138,Weekday,09/18/2017
1,Weekday,09/19/2017
2,Weekday,09/19/2017
3,Weekday,09/19/2017
4,Weekday,09/19/2017
6,Weekday,09/19/2017
20,Weekday,09/19/2017
21,Weekday,09/19/2017
26,Weekday,09/19/2017
29,Weekday,09/19/2017
34,Weekday,09/19/2017
35,Weekday,09/19/2017
37,Weekday,09/19/2017
48,Weekday,09/19/2017
56,Weekday,09/19/2017
59,Weekday,09/19/2017
74,Weekday,09/19/2017
75,Weekday,09/19/2017
101,Weekday,09/19/2017
108,Weekday,09/19/2017
119,Weekday,09/19/2017
120,Weekday,09/19/2017
123,Weekday,09/19/2017
124,Weekday,09/19/2017
126,Weekday,09/19/2017
127,Weekday,09/19/2017
128,Weekday,09/19/2017
129,Weekday,09/19/2017
131,Weekday,09/19/2017
132,Weekday,09/19/2017
133,Weekday,09/19/2017
134,Weekday,09/19/2017
135,Weekday,09/19/2017
136,Weekday,09/19/2017
137,Weekday,09/19/2017
138,Weekday,09/19/2017
1,Weekday,09/20/2017
2,Weekday,09/20/2017
3,Weekday,09/20/2017
4,Weekday,09/20/2017
20,Weekday,09/20/2017
21,Weekday,09/20/2017
26,Weekday,09/20/2017
