dt,day_type,category
21-Sep-17,Weekday,Baseline
22-Sep-17,Weekday,Baseline
23-Sep-17,Weekend,Baseline
24-Sep-17,Weekend,Baseline
25-Sep-17,Weekday,Baseline
26-Sep-17,Weekday,Baseline
27-Sep-17,Weekday,Baseline
28-Sep-17,Weekday,Baseline
29-Sep-17,Weekday,Baseline
30-Sep-17,Weekend,Baseline
01-Oct-17,Weekend,Baseline
02-Oct-17,Weekday,Baseline
03-Oct-17,Weekday,Baseline
04-Oct-17,Weekday,Baseline
05-Oct-17,Weekday,Baseline
06-Oct-17,Weekday,Baseline
07-Oct-17,Weekend,Baseline
08-Oct-17,Weekend,Baseline
09-Oct-17,Weekday,Excluded
10-Oct-17,Weekday,Baseline
11-Oct-17,Weekday,Baseline
12-Oct-17,Weekday,Baseline
13-Oct-17,Weekday,Baseline
14-Oct-17,Weekend,Baseline
15-Oct-17,Weekend,Excluded
16-Oct-17,Weekday,Excluded
17-Oct-17,Weekday,Excluded
18-Oct-17,Weekday,Excluded
19-Oct-17,Weekday,Excluded
20-Oct-17,Weekday,Excluded
21-Oct-17,Weekend,Excluded
22-Oct-17,Weekend,Excluded
23-Oct-17,Weekday,Excluded
24-Oct-17,Weekday,Excluded
25-Oct-17,Weekday,Excluded
26-Oct-17,Weekday,Excluded
27-Oct-17,Weekday,Excluded
28-Oct-17,Weekend,Excluded
29-Oct-17,Weekend,Excluded
30-Oct-17,Weekday,Baseline
31-Oct-17,Weekday,Baseline
01-Nov-17,Weekday,Baseline
02-Nov-17,Weekday,Baseline
03-Nov-17,Weekday,Baseline
04-Nov-17,Weekend,Baseline
05-Nov-17,Weekend,Baseline
06-Nov-17,Weekday,Baseline
07-Nov-17,Weekday,Baseline
08-Nov-17,Weekday,Baseline
09-Nov-17,Weekday,Baseline
10-Nov-17,Weekday,Baseline
11-Nov-17,Weekend,Baseline
12-Nov-17,Weekend,Pilot
13-Nov-17,Weekday,Pilot
14-Nov-17,Weekday,Pilot
15-Nov-17,Weekday,Pilot
16-Nov-17,Weekday,Pilot
17-Nov-17,Weekday,Pilot
18-Nov-17,Weekend,Pilot
19-Nov-17,Weekend,Pilot
20-Nov-17,Weekday,Pilot
21-Nov-17,Weekday,Pilot
22-Nov-17,Weekday,Pilot
23-Nov-17,Weekday,Pilot
24-Nov-17,Weekday,Pilot
25-Nov-17,Weekend,Pilot
26-Nov-17,Weekend,Pilot
27-Nov-17,Weekday,Pilot
28-Nov-17,Weekday,Pilot
29-Nov-17,Weekday,Pilot
30-Nov-17,Weekday,Pilot
01-Dec-17,Weekday,Pilot
02-Dec-17,Weekend,Pilot
03-Dec-17,Weekend,Pilot
04-Dec-17,Weekday,Pilot
05-Dec-17,Weekday,Pilot
06-Dec-17,Weekday,Pilot
07-Dec-17,Weekday,Pilot
08-Dec-17,Weekday,Pilot
09-Dec-17,Weekend,Pilot
10-Dec-17,Weekend,Pilot
11-Dec-17,Weekday,Pilot
12-Dec-17,Weekday,Pilot
13-Dec-17,Weekday,Pilot
14-Dec-17,Weekday,Pilot
15-Dec-17,Weekday,Pilot
16-Dec-17,Weekend,Pilot
17-Dec-17,Weekend,Pilot
18-Dec-17,Weekday,Pilot
19-Dec-17,Weekday,Pilot
20-Dec-17,Weekday,Pilot
21-Dec-17,Weekday,Pilot
22-Dec-17,Weekday,Pilot
23-Dec-17,Weekend,Pilot
24-Dec-17,Weekend,Pilot
25-Dec-17,Weekday,Excluded
26-Dec-17,Weekday,Excluded
27-Dec-17,Weekday,Pilot
28-Dec-17,Weekday,Pilot
29-Dec-17,Weekday,Pilot
30-Dec-17,Weekend,Pilot
31-Dec-17,Weekend,Pilot
