segment,streetname,direction,segdesc,x1,y1,x2,y2
1,Queen,E,Bathurst to Spadina,10,10,60,10
2,Queen,E,Spadina to University,60,10,140,10
3,Queen,E,University to Yonge,140,10,200,10
4,Queen,E,Yonge to Jarvis,200,10,250,10
5,Queen,W,Jarvis to Yonge,250,10,200,10
6,Queen,W,Yonge to University,200,10,140,10
7,Queen,W,University to Spadina,140,10,60,10
8,Queen,W,Spadina to Bathurst,60,10,10,10
9,Richmond,W,Jarvis to Yonge,250,20,200,20
10,Richmond,W,Yonge to University,200,20,140,20
11,Richmond,W,University to Spadina,140,20,60,20
12,Richmond,W,Spadina to Bathurst,60,20,10,20
13,Adelaide,E,Bathurst to Spadina,10,35,60,35
14,Adelaide,E,Spadina to University,60,35,140,35
15,Adelaide,E,University to Yonge,140,35,200,35
16,Adelaide,E,Yonge to Jarvis,200,35,250,35
17,King,E,Bathurst to Spadina,10,50,60,50
18,King,E,Spadina to University,60,50,140,50
19,King,E,University to Yonge,140,50,200,50
20,King,E,Yonge to Jarvis,200,50,250,50
21,King,W,Jarvis to Yonge,250,50,200,50
22,King,W,Yonge to University,200,50,140,50
23,King,W,University to Spadina,140,50,60,50
24,King,W,Spadina to Bathurst,60,50,10,50
25,Wellington,W,Church to Yonge,230,65,200,65
26,Wellington,W,Yonge to University,200,65,140,65
27,Wellington,W,University to Spadina,140,65,60,65
28,Wellington,W,Spadina to Bathurst,60,65,10,65
29,Front1,E,Bathurst to Spadina,10,80,60,80
30,Front1,E,Spadina to University,60,80,140,80
31,Front1,E,University to Yonge,140,80,200,80
32,Front1,W,Yonge to University,200,80,140,80
33,Front1,W,University to Spadina,140,80,60,80
34,Front1,W,Spadina to Bathurst,60,80,10,80
35,Front2,E,Yonge to Jarvis,200,80,250,60
36,Front2,W,Jarvis to Yonge,250,60,200,80
37,Bathurst,S,Queen to Richmond,10,10,10,20
38,Bathurst,S,Richmond to Adelaide,10,20,10,35
39,Bathurst,S,Adelaide to King,10,35,10,50
40,Bathurst,S,King to Wellington,10,50,10,65
41,Bathurst,S,Wellington to Front,10,65,10,80
42,Bathurst,N,Front to Wellington,10,80,10,65
43,Bathurst,N,Wellington to King,10,65,10,50
44,Bathurst,N,King to Adelaide,10,50,10,35
45,Bathurst,N,Adelaide to Richmond,10,35,10,20
46,Bathurst,N,Richmond to Queen,10,20,10,10
47,Spadina,S,Queen to Richmond,60,10,60,20
48,Spadina,S,Richmond to Adelaide,60,20,60,35
49,Spadina,S,Adelaide to King,60,35,60,50
50,Spadina,S,King to Wellington,60,50,60,65
51,Spadina,S,Wellington to Front,60,65,60,80
52,Spadina,N,Front to Wellington,60,80,60,65
53,Spadina,N,Wellington to King,60,65,60,50
54,Spadina,N,King to Adelaide,60,50,60,35
55,Spadina,N,Adelaide to Richmond,60,35,60,20
56,Spadina,N,Richmond to Queen,60,20,60,10
57,University,S,Queen to Richmond,140,10,140,20
58,University,S,Richmond to Adelaide,140,20,140,35
59,University,S,Adelaide to King,140,35,140,50
60,University,S,King to Wellington,140,50,140,65
61,University,S,Wellington to Front,140,65,140,80
62,University,N,Front to Wellington,140,80,140,65
63,University,N,Wellington to King,140,65,140,50
64,University,N,King to Adelaide,140,50,140,35
65,University,N,Adelaide to Richmond,140,35,140,20
66,University,N,Richmond to Queen,140,20,140,10
67,Yonge,S,Queen to Richmond,200,10,200,20
68,Yonge,S,Richmond to Adelaide,200,20,200,35
69,Yonge,S,Adelaide to King,200,35,200,50
70,Yonge,S,King to Wellington,200,50,200,65
71,Yonge,S,Wellington to Front,200,65,200,80
72,Yonge,N,Front to Wellington,200,80,200,65
73,Yonge,N,Wellington to King,200,65,200,50
74,Yonge,N,King to Adelaide,200,50,200,35
75,Yonge,N,Adelaide to Richmond,200,35,200,20
76,Yonge,N,Richmond to Queen,200,20,200,10
77,Jarvis,S,Queen to Richmond,250,10,250,20
78,Jarvis,S,Richmond to Adelaide,250,20,250,35
79,Jarvis,S,Adelaide to King,250,35,250,50
80,Jarvis,S,King to Front,250,50,250,60
81,Jarvis,N,Front to King,250,60,250,50
82,Jarvis,N,King to Adelaide,250,50,250,35
83,Jarvis,N,Adelaide to Richmond,250,35,250,20
84,Jarvis,N,Richmond to Queen,250,20,250,10
