street,direction,date,period,tt,,,
Dundas,EB,02-Oct-17,AMPK,20.2,,,
Dundas,EB,03-Oct-17,AMPK,14.7,,,
Dundas,EB,04-Oct-17,AMPK,19.9,,,
Dundas,EB,05-Oct-17,AMPK,20.9,,,
Dundas,EB,06-Oct-17,AMPK,16.8,,,
Dundas,EB,10-Oct-17,AMPK,20.0,,,
Dundas,EB,11-Oct-17,AMPK,18.2,,,
Dundas,EB,12-Oct-17,AMPK,13.4,,,
Dundas,EB,13-Oct-17,AMPK,14.9,,,
Dundas,EB,30-Oct-17,AMPK,18.9,,,
Dundas,EB,31-Oct-17,AMPK,15.0,,,
Dundas,EB,01-Nov-17,AMPK,17.1,,,
Dundas,EB,02-Nov-17,AMPK,14.5,,,
Dundas,EB,03-Nov-17,AMPK,17.4,,,
Dundas,EB,06-Nov-17,AMPK,18.5,,,
Dundas,EB,07-Nov-17,AMPK,18.2,,,
Dundas,EB,08-Nov-17,AMPK,16.5,,,
Dundas,EB,09-Nov-17,AMPK,17.9,,,
Dundas,EB,10-Nov-17,AMPK,15.9,,,
Dundas,EB,13-Nov-17,AMPK,24.6,,,
Dundas,EB,14-Nov-17,AMPK,24.7,,,
Dundas,EB,15-Nov-17,AMPK,23.5,,,
Dundas,EB,16-Nov-17,AMPK,17.5,,,
Dundas,EB,17-Nov-17,AMPK,21.3,,,
Dundas,EB,20-Nov-17,AMPK,15.3,,,
Dundas,EB,21-Nov-17,AMPK,22.8,,,
Dundas,EB,22-Nov-17,AMPK,20.8,,,
Dundas,EB,23-Nov-17,AMPK,20.5,,,
Dundas,EB,24-Nov-17,AMPK,17.7,,,
Dundas,EB,27-Nov-17,AMPK,24.3,,,
Dundas,EB,28-Nov-17,AMPK,19.6,,,
Dundas,EB,29-Nov-17,AMPK,21.5,,,
Dundas,EB,30-Nov-17,AMPK,17.1,,,
Dundas,EB,01-Dec-17,AMPK,22.2,,,
Dundas,WB,02-Oct-17,AMPK,15.7,,,
Dundas,WB,03-Oct-17,AMPK,9.8,,,
Dundas,WB,04-Oct-17,AMPK,14.9,,,
Dundas,WB,05-Oct-17,AMPK,13.1,,,
Dundas,WB,06-Oct-17,AMPK,16.1,,,
Dundas,WB,10-Oct-17,AMPK,17.4,,,
Dundas,WB,11-Oct-17,AMPK,17.9,,,
Dundas,WB,12-Oct-17,AMPK,16.3,,,
Dundas,WB,13-Oct-17,AMPK,11.9,,,
Dundas,WB,30-Oct-17,AMPK,11.9,,,
Dundas,WB,31-Oct-17,AMPK,12.5,,,
Dundas,WB,01-Nov-17,AMPK,13.3,,,
Dundas,WB,02-Nov-17,AMPK,12.2,,,
Dundas,WB,03-Nov-17,AMPK,13.1,,,
Dundas,WB,06-Nov-17,AMPK,12.6,,,
Dundas,WB,07-Nov-17,AMPK,14.5,,,
Dundas,WB,08-Nov-17,AMPK,13.0,,,
Dundas,WB,09-Nov-17,AMPK,9.4,,,
Dundas,WB,10-Nov-17,AMPK,9.5,,,
Dundas,WB,13-Nov-17,AMPK,13.0,,,
Dundas,WB,14-Nov-17,AMPK,16.5,,,
Dundas,WB,15-Nov-17,AMPK,15.9,,,
Dundas,WB,16-Nov-17,AMPK,11.5,,,
Dundas,WB,17-Nov-17,AMPK,14.3,,,
Dundas,WB,20-Nov-17,AMPK,14.2,,,
Dundas,WB,21-Nov-17,AMPK,20.9,,,
Dundas,WB,22-Nov-17,AMPK,13.0,,,
Dundas,WB,23-Nov-17,AMPK,16.6,,,
Dundas,WB,24-Nov-17,AMPK,18.0,,,
Dundas,WB,27-Nov-17,AMPK,11.4,,,
Dundas,WB,28-Nov-17,AMPK,15.7,,,
Dundas,WB,29-Nov-17,AMPK,16.2,,,
Dundas,WB,30-Nov-17,AMPK,18.5,,,
Dundas,WB,01-Dec-17,AMPK,15.2,,,
Queen,EB,02-Oct-17,AMPK,15.9,,,
Queen,EB,03-Oct-17,AMPK,19.9,,,
Queen,EB,04-Oct-17,AMPK,18.4,,,
Queen,EB,05-Oct-17,AMPK,18.7,,,
Queen,EB,06-Oct-17,AMPK,14.9,,,
Queen,EB,10-Oct-17,AMPK,18.8,,,
Queen,EB,11-Oct-17,AMPK,19.6,,,
Queen,EB,12-Oct-17,AMPK,17.0,,,
Queen,EB,13-Oct-17,AMPK,18.3,,,
Queen,EB,30-Oct-17,AMPK,16.4,,,
Queen,EB,31-Oct-17,AMPK,19.1,,,
Queen,EB,01-Nov-17,AMPK,12.5,,,
Queen,EB,02-Nov-17,AMPK,15.7,,,
Queen,EB,03-Nov-17,AMPK,23.0,,,
Queen,EB,06-Nov-17,AMPK,16.3,,,
Queen,EB,07-Nov-17,AMPK,22.3,,,
Queen,EB,08-Nov-17,AMPK,17.6,,,
Queen,EB,09-Nov-17,AMPK,16.4,,,
Queen,EB,10-Nov-17,AMPK,19.2,,,
Queen,EB,13-Nov-17,AMPK,15.3,,,
Queen,EB,14-Nov-17,AMPK,23.9,,,
Queen,EB,15-Nov-17,AMPK,19.6,,,
Queen,EB,16-Nov-17,AMPK,21.4,,,
Queen,EB,17-Nov-17,AMPK,21.2,,,
Queen,EB,20-Nov-17,AMPK,19.3,,,
Queen,EB,21-Nov-17,AMPK,22.9,,,
Queen,EB,22-Nov-17,AMPK,17.2,,,
Queen,EB,23-Nov-17,AMPK,18.4,,,
Queen,EB,24-Nov-17,AMPK,18.3,,,
Queen,EB,27-Nov-17,AMPK,21.0,,,
Queen,EB,28-Nov-17,AMPK,25.9,,,
Queen,EB,29-Nov-17,AMPK,18.9,,,
Queen,EB,30-Nov-17,AMPK,22.3,,,
Queen,EB,01-Dec-17,AMPK,24.9,,,
Queen,WB,02-Oct-17,AMPK,14.1,,,
Queen,WB,03-Oct-17,AMPK,10.0,,,
Queen,WB,04-Oct-17,AMPK,15.2,,,
Queen,WB,05-Oct-17,AMPK,14.6,,,
Queen,WB,06-Oct-17,AMPK,17.0,,,
Queen,WB,10-Oct-17,AMPK,15.3,,,
Queen,WB,11-Oct-17,AMPK,15.2,,,
Queen,WB,12-Oct-17,AMPK,17.9,,,
Queen,WB,13-Oct-17,AMPK,9.2,,,
Queen,WB,30-Oct-17,AMPK,16.7,,,
Queen,WB,31-Oct-17,AMPK,12.7,,,
Queen,WB,01-Nov-17,AMPK,13.0,,,
Queen,WB,02-Nov-17,AMPK,13.9,,,
Queen,WB,03-Nov-17,AMPK,14.3,,,
Queen,WB,06-Nov-17,AMPK,12.0,,,
Queen,WB,07-Nov-17,AMPK,11.7,,,
Queen,WB,08-Nov-17,AMPK,15.9,,,
Queen,WB,09-Nov-17,AMPK,16.6,,,
Queen,WB,10-Nov-17,AMPK,14.8,,,
Queen,WB,13-Nov-17,AMPK,12.8,,,
Queen,WB,14-Nov-17,AMPK,15.3,,,
Queen,WB,15-Nov-17,AMPK,11.3,,,
Queen,WB,16-Nov-17,AMPK,14.1,,,
Queen,WB,17-Nov-17,AMPK,17.2,,,
Queen,WB,20-Nov-17,AMPK,15.2,,,
Queen,WB,21-Nov-17,AMPK,15.3,,,
Queen,WB,22-Nov-17,AMPK,14.4,,,
Queen,WB,23-Nov-17,AMPK,13.8,,,
Queen,WB,24-Nov-17,AMPK,14.5,,,
Queen,WB,27-Nov-17,AMPK,18.4,,,
Queen,WB,28-Nov-17,AMPK,13.1,,,
Queen,WB,29-Nov-17,AMPK,20.6,,,
Queen,WB,30-Nov-17,AMPK,18.0,,,
Queen,WB,01-Dec-17,AMPK,11.6,,,
Richmond,WB,02-Oct-17,AMPK,12.4,,,
Richmond,WB,03-Oct-17,AMPK,12.0,,,
Richmond,WB,04-Oct-17,AMPK,11.1,,,
Richmond,WB,05-Oct-17,AMPK,12.1,,,
Richmond,WB,06-Oct-17,AMPK,11.8,,,
Richmond,WB,10-Oct-17,AMPK,16.3,,,
Richmond,WB,11-Oct-17,AMPK,13.4,,,
Richmond,WB,12-Oct-17,AMPK,9.2,,,
Richmond,WB,13-Oct-17,AMPK,13.2,,,
Richmond,WB,30-Oct-17,AMPK,12.6,,,
Richmond,WB,31-Oct-17,AMPK,17.0,,,
Richmond,WB,01-Nov-17,AMPK,9.2,,,
Richmond,WB,02-Nov-17,AMPK,11.8,,,
Richmond,WB,03-Nov-17,AMPK,9.2,,,
Richmond,WB,06-Nov-17,AMPK,13.2,,,
Richmond,WB,07-Nov-17,AMPK,16.4,,,
Richmond,WB,08-Nov-17,AMPK,15.3,,,
Richmond,WB,09-Nov-17,AMPK,14.4,,,
Richmond,WB,10-Nov-17,AMPK,15.3,,,
Richmond,WB,13-Nov-17,AMPK,19.3,,,
Richmond,WB,14-Nov-17,AMPK,16.6,,,
Richmond,WB,15-Nov-17,AMPK,14.4,,,
Richmond,WB,16-Nov-17,AMPK,14.7,,,
Richmond,WB,17-Nov-17,AMPK,15.2,,,
Richmond,WB,20-Nov-17,AMPK,15.4,,,
Richmond,WB,21-Nov-17,AMPK,13.0,,,
Richmond,WB,22-Nov-17,AMPK,16.6,,,
Richmond,WB,23-Nov-17,AMPK,18.5,,,
Richmond,WB,24-Nov-17,AMPK,18.0,,,
Richmond,WB,27-Nov-17,AMPK,12.6,,,
Richmond,WB,28-Nov-17,AMPK,19.7,,,
Richmond,WB,29-Nov-17,AMPK,19.7,,,
Richmond,WB,30-Nov-17,AMPK,15.9,,,
Richmond,WB,01-Dec-17,AMPK,18.0,,,
Adelaide,EB,02-Oct-17,AMPK,17.6,,,
Adelaide,EB,03-Oct-17,AMPK,24.7,,,
Adelaide,EB,04-Oct-17,AMPK,20.3,,,
Adelaide,EB,05-Oct-17,AMPK,20.4,,,
Adelaide,EB,06-Oct-17,AMPK,20.5,,,
Adelaide,EB,10-Oct-17,AMPK,19.4,,,
